RecordId,ConflictId,Location,SideA,SideA2nd,SideB,SideBID,SideB2nd,Incompatibility,TerritoryName,Year,IntensityLevel,CumulativeIntensity,TypeOfConflict,StartDate,StartPrec,StartDate2,StartPrec2,EpEnd,EpEndDate,EpEndPrec,GWNoA,GWNoA2nd,GWNoB,GWNoB2nd,GWNoLoc,Region,Version,location_key,lat,lon
1,01-Jan,Bolivia,Government of Bolivia,NULL,Popular Revolutionary Movement,1580,NULL,2,NULL,1946,2,1,3,06/30/46,4,06/30/46,4,1,07/21/46,1,145,NULL,NULL,NULL,145,5,04/01/14,Bolivia,-16.713055,-64.6666489
2,01-Jan,Bolivia,Government of Bolivia,NULL,MNR,1581,NULL,2,NULL,1952,1,1,3,06/30/46,4,04/09/52,1,1,04/12/52,1,145,NULL,NULL,NULL,145,5,04/01/14,Bolivia,-16.713055,-64.6666489
3,01-Jan,Bolivia,Government of Bolivia,NULL,ELN,1582,NULL,2,NULL,1967,1,1,3,06/30/46,4,03/31/67,3,1,10/16/67,1,145,NULL,NULL,NULL,145,5,04/01/14,Bolivia,-16.713055,-64.6666489
4,02-Jan,Cambodia (Kampuchea),Government of France,NULL,Khmer Issarak,1001,NULL,1,Cambodia,1946,1,0,1,08/31/46,3,08/31/46,3,0,NULL,NULL,220,NULL,NULL,NULL,811,3,04/01/14,Cambodia (Kampuchea),12.570423,104.8139114
5,02-Jan,Cambodia (Kampuchea),Government of France,NULL,Khmer Issarak,1001,NULL,1,Cambodia,1947,1,0,1,08/31/46,3,08/31/46,3,0,NULL,NULL,220,NULL,NULL,NULL,811,3,04/01/14,Cambodia (Kampuchea),12.570423,104.8139114
6,02-Jan,Cambodia (Kampuchea),Government of France,NULL,Khmer Issarak,1001,NULL,1,Cambodia,1948,1,0,1,08/31/46,3,08/31/46,3,0,NULL,NULL,220,NULL,NULL,NULL,811,3,04/01/14,Cambodia (Kampuchea),12.570423,104.8139114
7,02-Jan,Cambodia (Kampuchea),Government of France,NULL,Khmer Issarak,1001,NULL,1,Cambodia,1949,1,0,1,08/31/46,3,08/31/46,3,0,NULL,NULL,220,NULL,NULL,NULL,811,3,04/01/14,Cambodia (Kampuchea),12.570423,104.8139114
8,02-Jan,Cambodia (Kampuchea),Government of France,NULL,Khmer Issarak,1001,NULL,1,Cambodia,1950,1,0,1,08/31/46,3,08/31/46,3,0,NULL,NULL,220,NULL,NULL,NULL,811,3,04/01/14,Cambodia (Kampuchea),12.570423,104.8139114
9,02-Jan,Cambodia (Kampuchea),Government of France,NULL,Khmer Issarak,1001,NULL,1,Cambodia,1951,1,0,1,08/31/46,3,08/31/46,3,0,NULL,NULL,220,NULL,NULL,NULL,811,3,04/01/14,Cambodia (Kampuchea),12.570423,104.8139114
10,02-Jan,Cambodia (Kampuchea),Government of France,NULL,Khmer Issarak,1001,NULL,1,Cambodia,1952,1,0,1,08/31/46,3,08/31/46,3,0,NULL,NULL,220,NULL,NULL,NULL,811,3,04/01/14,Cambodia (Kampuchea),12.570423,104.8139114
