ConflictId,Location,CumulativeIntensity,StartDate2,EpEndDate,lat,lon
1-1,Bolivia,1,6/30/1946,7/21/1946,-16.713055,-64.6666489
1-1,Bolivia,1,4/9/1952,4/12/1952,-16.713055,-64.6666489
1-1,Bolivia,1,3/31/1967,10/16/1967,-16.713055,-64.6666489
1-10,Philippines,1,7/31/1946,12/31/1954,11.112666,122.5094757
1-10,Philippines,1,9/30/1969,12/13/1995,11.112666,122.5094757
1-10,Philippines,1,11/23/1997,12/22/1997,11.112666,122.5094757
1-10,Philippines,1,6/6/1999,NULL,11.112666,122.5094757
1-100,Nigeria,0,1/15/1966,7/29/1966,9.5595055,8.077880859
1-100,Nigeria,0,7/26/2009,7/30/2009,9.5595055,8.077880859
1-100,Nigeria,0,3/1/2011,NULL,9.5595055,8.077880859
1-100,Nigeria,1,3/1/2011,NULL,9.5595055,8.077880859
1-101,South Africa,0,12/31/1966,NULL,-29.046185,25.06287956
1-101,South Africa,1,12/31/1966,8/8/1988,-29.046185,25.06287956
1-102,Syria,0,2/23/1966,2/23/1966,35.033127,38.4734726
1-102,Syria,0,2/23/1966,2/23/1966,35.033127,38.4734726
1-102,Syria,0,6/16/1979,NULL,35.033127,38.4734726
1-102,Syria,0,6/16/1979,NULL,35.033127,38.4734726
1-102,Syria,1,6/16/1979,2/2/1982,35.033127,38.4734726
1-102,Syria,1,6/16/1979,2/2/1982,35.033127,38.4734726
1-102,Syria,1,10/1/2011,NULL,35.033127,38.4734726
1-102,Syria,1,10/1/2011,NULL,35.033127,38.4734726
1-103,Cambodia (Kampuchea),1,5/31/1967,4/17/1975,12.570423,104.8139114
1-103,Cambodia (Kampuchea),1,12/30/1978,10/26/1998,12.570423,104.8139114
1-104,"Egypt, Israel",1,6/5/1967,6/10/1967,26.756104,29.86229706
1-104,"Egypt, Israel",1,3/6/1969,8/7/1970,26.756104,29.86229706
1-104,"Egypt, Israel",1,10/6/1973,10/24/1973,26.756104,29.86229706
1-105,"Israel, Jordan",1,6/5/1967,6/10/1967,31.814194,34.75337219
1-106,"Israel, Syria",1,6/5/1967,6/10/1967,31.814194,34.75337219
1-106,"Israel, Syria",1,10/6/1973,10/24/1973,31.814194,34.75337219
1-107,Nigeria,1,7/6/1967,1/12/1970,9.5595055,8.077880859
1-108,"China, Myanmar (Burma)",0,2/28/1969,12/31/1969,36.553085,103.9754333
1-109,"China, Russia (Soviet Union)",0,3/2/1969,12/31/1969,36.553085,103.9754333
1-11,Russia (Soviet Union),1,12/31/1946,12/31/1948,63.125187,103.7539825
1-110,"El Salvador, Honduras",1,7/3/1969,7/18/1969,13.671637,-88.8636322
1-111,Guinea,0,9/17/2000,7/19/2001,10.429302,-10.9895496
1-112,Philippines,0,8/20/1970,NULL,11.112666,122.5094757
1-112,Philippines,1,8/20/1970,12/31/1990,11.112666,122.5094757
1-112,Philippines,1,2/9/1993,NULL,11.112666,122.5094757
1-113,Sudan,0,7/22/1971,7/22/1971,16.085785,30.0873909
1-113,Sudan,0,7/2/1976,7/2/1976,16.085785,30.0873909
1-113,Sudan,1,5/17/1983,NULL,16.085785,30.0873909
1-114,Madagascar (Malagasy),0,4/30/1971,4/30/1971,-19.272394,46.69843292
1-115,Morocco,0,7/10/1971,7/11/1971,29.140591,-8.95338821
1-116,Pakistan,1,3/26/1971,12/16/1971,29.92322,69.35774231
1-117,Sri Lanka,1,4/30/1971,6/9/1971,7.7891335,80.6807251
1-117,Sri Lanka,1,2/13/1989,2/23/1990,7.7891335,80.6807251
1-118,Uganda,0,1/29/1971,9/20/1972,1.277328,32.38998413
1-118,Uganda,0,3/23/1974,3/23/1974,1.277328,32.38998413
1-118,Uganda,1,1/22/1979,8/9/1992,1.277328,32.38998413
1-118,Uganda,1,2/21/1994,11/3/2011,1.277328,32.38998413
1-118,Uganda,1,6/24/2013,NULL,1.277328,32.38998413
1-119,United Kingdom,0,8/31/1971,NULL,54.560886,-2.21251178
1-119,United Kingdom,1,8/31/1971,11/26/1991,54.560886,-2.21251178
1-119,United Kingdom,1,8/15/1998,8/15/1998,54.560886,-2.21251178
1-12,Russia (Soviet Union),0,12/31/1946,12/31/1946,63.125187,103.7539825
1-120,El Salvador,0,3/25/1972,3/25/1972,13.671637,-88.8636322
1-120,El Salvador,0,9/14/1979,NULL,13.671637,-88.8636322
1-120,El Salvador,1,9/14/1979,12/31/1991,13.671637,-88.8636322
1-121,Oman,0,12/31/1969,12/11/1975,20.566622,56.1579628
1-122,Zimbabwe (Rhodesia),0,9/5/1967,12/31/1968,-19.00028,29.86876106
1-122,Zimbabwe (Rhodesia),0,4/4/1973,NULL,-19.00028,29.86876106
1-122,Zimbabwe (Rhodesia),1,4/4/1973,12/21/1979,-19.00028,29.86876106
1-123,Uruguay,0,4/30/1972,12/31/1972,-32.969654,-56.0559082
1-124,"South Yemen, Yemen (North Yemen)",0,2/21/1972,10/19/1972,12.7989,45.03310013
1-124,"South Yemen, Yemen (North Yemen)",0,3/31/1979,3/30/1979,12.7989,45.03310013
1-125,Chile,0,9/11/1973,9/11/1973,-35.786228,-71.674675
1-126,Bangladesh,0,2/28/1975,NULL,23.730104,90.30652618
1-126,Bangladesh,1,2/28/1975,12/31/1991,23.730104,90.30652618
